Lynx,CAM,Day,Date,Time1,Time2,Duration,Species,Seed_encounter
1,10,5,04/11/2020,20:11:11,20:11:12,00:00:01,Apodemus_sylvaticus,0
1,10,5,05/11/2020,01:43:09,01:43:10,00:00:01,Apodemus_sylvaticus,0
1,13,4,03/11/2020,18:46:22,18:46:23,00:00:01,Apodemus_sylvaticus,0
1,13,5,04/11/2020,20:55:02,20:55:03,00:00:01,Apodemus_sylvaticus,0
1,13,5,04/11/2020,21:00:27,21:00:28,00:00:01,Apodemus_sylvaticus,0
1,13,5,05/11/2020,01:16:26,01:16:27,00:00:01,Apodemus_sylvaticus,1
1,16,2,02/11/2020,03:02:21,03:03:53,00:01:32,Apodemus_sylvaticus,0
1,18,5,05/11/2020,04:07:22,04:08:08,00:00:46,Apodemus_sylvaticus,0
0,19,5,05/11/2020,01:52:40,01:55:27,00:02:47,Apodemus_sylvaticus,0
0,23,3,02/11/2020,22:28:47,22:28:48,00:00:01,Apodemus_sylvaticus,0
0,23,5,04/11/2020,22:30:41,22:30:42,00:00:01,Apodemus_sylvaticus,0
0,23,5,05/11/2020,00:32:07,00:32:08,00:00:01,Apodemus_sylvaticus,0
0,25,5,04/11/2020,19:19:16,19:19:17,00:00:01,Apodemus_sylvaticus,0
0,25,5,05/11/2020,02:54:06,02:54:07,00:00:01,Apodemus_sylvaticus,0
0,25,5,05/11/2020,03:14:25,03:14:26,00:00:01,Apodemus_sylvaticus,0
0,26,1,31/10/2020,14:22:06,14:22:07,00:00:01,Apodemus_sylvaticus,0
0,26,5,04/11/2020,19:42:09,19:42:10,00:00:01,Apodemus_sylvaticus,0
0,30,3,02/11/2020,18:28:26,18:28:27,00:00:01,Apodemus_sylvaticus,1
0,31,1,01/11/2020,06:17:03,06:17:04,00:00:01,Apodemus_sylvaticus,1
0,31,2,02/11/2020,04:54:18,04:54:19,00:00:01,Apodemus_sylvaticus,1
0,31,5,04/11/2020,19:49:29,19:54:28,00:04:59,Apodemus_sylvaticus,1
0,34,5,04/11/2020,19:43:30,19:43:31,00:00:01,Apodemus_sylvaticus,0
0,34,5,05/11/2020,02:04:24,02:04:25,00:00:01,Apodemus_sylvaticus,0
0,35,4,03/11/2020,23:24:05,23:24:06,00:00:01,Apodemus_sylvaticus,1
