Lynx;Habitat;Plot;Microhabitat;Code;CAM;Seeds_left0;Seeds_left1;Seeds_predated1;Seeds_left2;Seeds_oredated2;Seeds_left3;Seeds_predated3;Seeds_left4;Seeds_predated4;Seeds_left5;Seeds_predated5;Seeds_predated_total
0;Open;2OSL;Shrub;1;;8;7;1;7;0;7;0;7;0;7;0;1
0;Open;2OSL;Shrub;2;;8;8;0;8;0;8;0;0;8;0;0;8
0;Open;2OSL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;2OSL;Rock;4;;8;8;0;8;0;8;NA;0;8;0;0;8
0;Open;2OSL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;2OSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;3CSL;Shrub;1;;8;8;0;8;0;7;1;7;0;7;0;1
0;Forest;3CSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;3CSL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;3CSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;3CSL;Open;5;;8;8;0;8;0;8;0;7;1;7;0;1
0;Forest;3CSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;4CSL;Shrub;2;;8;7;1;7;0;7;0;7;0;7;0;1
0;Forest;4CSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;4CSL;Open;6;;8;8;0;8;0;8;0;7;1;7;0;1
0;Forest;5CSL;Shrub;1;;8;8;0;8;0;8;0;8;0;0;8;8
0;Forest;5CSL;Shrub;2;;8;8;0;8;0;8;0;0;8;0;0;8
0;Forest;5CSL;Rock;4;;8;8;0;8;0;8;0;0;8;0;0;8
0;Forest;5CSL;Open;5;;8;7;1;7;0;7;0;7;0;7;0;1
0;Forest;5CSL;Open;6;;8;8;0;8;0;8;0;8;0;7;1;1
0;Open;3OSL;Shrub;2;;8;8;0;8;0;0;8;0;0;0;0;8
0;Open;3OSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;3OSL;Open;6;;8;8;0;8;0;1;7;0;1;0;0;8
0;Open;4OSL;Shrub;2;;8;0;8;0;0;0;0;0;0;0;0;8
0;Open;4OSL;Rock;3;;8;8;0;8;0;8;0;0;8;0;0;8
0;Open;4OSL;Rock;4;;8;8;0;8;0;8;0;0;8;0;0;8
0;Open;4OSL;Open;5;;8;8;0;8;0;8;0;0;8;0;0;8
0;Open;4OSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;5OSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;5OSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;5OSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;6OSL;Shrub;1;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;6OSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;6OSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;6OSL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;6OSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;6CSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;6CSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;6CSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;5OL;Rock;4;;8;8;0;8;0;8;0;8;0;5;3;3
1;Open;5OL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;6OL;Shrub;1;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;6OL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;6OL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;6OL;Rock;4;;8;7;1;7;0;7;0;7;0;7;0;1
1;Open;6OL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;4OL;Shrub;2;;8;8;0;8;0;8;0;8;0;0;8;8
1;Open;4OL;Rock;3;;8;8;0;8;0;8;0;8;0;7;1;1
1;Open;4OL;Rock;4;;8;0;8;0;0;0;0;0;0;0;0;8
1;Open;4OL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;4OL;Open;6;;8;8;0;8;0;8;0;8;0;0;8;8
1;Open;3OL;Rock;3;;8;0;8;0;0;0;0;0;0;0;0;8
1;Open;3OL;Open;5;;8;8;0;8;0;7;1;7;0;7;0;1
1;Forest;2CL;Shrub;1;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;2CL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;2CL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;2CL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;2CL;Open;5;;8;8;0;8;0;8;0;8;0;7;1;1
1;Forest;2CL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;1CL;Rock;6;;8;8;0;8;0;8;0;0;8;0;0;8
1;Open;2OL;Shrub;1;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;2OL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;2OL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;2OL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;2OL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;2OL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;1OL;Shrub;3;;8;8;0;8;0;8;0;1;7;1;0;7
1;Open;1OL;Open;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;1OL;Rock;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;3CL;Shrub;2;;8;8;0;8;0;8;0;8;0;7;1;1
1;Forest;3CL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;3CL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;3CL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;3CL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;4CL;Shrub;2;;8;8;0;8;0;8;0;8;0;1;7;7
1;Forest;4CL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;4CL;Open;6;;8;8;0;8;0;8;0;7;1;7;0;1
1;Forest;5CL;Shrub;1;;8;8;0;8;0;8;0;8;0;0;8;8
1;Forest;5CL;Shrub;2;;8;8;0;8;0;8;0;8;0;1;7;7
1;Forest;5CL;Rock;3;;8;7;1;7;0;7;0;6;1;0;6;8
1;Forest;5CL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;5CL;Open;5;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;5CL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;6CL;Shrub;2;;8;8;0;8;0;8;0;8;0;4;4;4
1;Forest;6CL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;6CL;Open;6;;8;8;0;8;0;8;NA;8;0;8;0;0
0;Open;6OSL;Rock;3;;8;8;0;7;1;7;0;6;1;6;0;2
1;Open;3OL;Shrub;1;;8;4;4;3;1;0;3;0;0;0;0;8
1;Forest;3CL;Shrub;1;;8;8;0;7;1;7;0;7;0;7;0;1
0;Forest;5CSL;Rock;3;;8;7;1;2;5;2;0;2;0;0;2;8
1;Open;6OL;Open;6;;8;8;0;3;5;3;0;2;1;2;0;6
1;Forest;1CL;Open;4;;8;5;3;0;5;0;0;0;0;0;0;8
0;Open;4OSL;Shrub;1;;8;6;2;0;6;0;0;0;0;0;0;8
1;Open;5OL;Shrub;2;;8;7;1;0;7;0;0;0;0;0;0;8
1;Open;4OL;Shrub;1;;8;8;0;0;8;0;0;0;0;0;0;8
1;Forest;1CL;Shrub;3;;8;8;0;0;8;0;0;0;0;0;0;8
